PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,Season_Year,injured,PLAYER_ID_run,TEAM_ABBREVIATION_run,GP_run,MIN,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON_TYPE
201933,Blake Griffin,LAC,25,82,251,80,24.1,9.5,3.9,9.8,0.07,0.191,0.286,0.583,0.185,2013-14,2013,FALSE,201933,LAC,80,35.79,2.36,1.2,1.15,3.96,4.24,3.7,Regular Season
201933,Blake Griffin,LAC,25,82,251,80,24.1,9.5,3.9,9.8,0.07,0.191,0.286,0.583,0.185,2013-14,2013,FALSE,201933,LAC,13,36.78,2.37,1.25,1.12,3.86,3.96,3.76,Playoffs
2564,Boris Diaw,SAS,32,80,250,79,9.1,4.1,2.8,8.3,0.041,0.126,0.167,0.578,0.162,2013-14,2013,TRUE,2564,SAS,79,24.99,1.79,0.98,0.81,4.3,4.79,3.83,Regular Season
2564,Boris Diaw,SAS,32,80,250,79,9.1,4.1,2.8,8.3,0.041,0.126,0.167,0.578,0.162,2013-14,2013,TRUE,2564,SAS,23,26.27,1.89,1.05,0.84,4.37,4.82,3.9,Playoffs
203078,Bradley Beal,WAS,21,77,207,73,17.1,3.7,3.3,2,0.022,0.09,0.24,0.507,0.155,2013-14,2013,TRUE,203078,WAS,72,34.63,2.49,1.31,1.18,4.34,4.64,4.06,Regular Season
203078,Bradley Beal,WAS,21,77,207,73,17.1,3.7,3.3,2,0.022,0.09,0.24,0.507,0.155,2013-14,2013,TRUE,203078,WAS,11,41.61,2.93,1.55,1.39,4.26,4.68,3.87,Playoffs
201148,Brandan Wright,DAL,26,82,210,58,9.1,4.2,0.5,5.3,0.103,0.139,0.172,0.695,0.046,2013-14,2013,TRUE,201148,DAL,58,18.58,1.25,0.64,0.61,4.03,4.05,4.01,Regular Season
201148,Brandan Wright,DAL,26,82,210,58,9.1,4.2,0.5,5.3,0.103,0.139,0.172,0.695,0.046,2013-14,2013,TRUE,201148,DAL,6,15.06,1.02,0.49,0.53,4.07,3.97,4.18,Playoffs
101138,Brandon Bass,BOS,29,80,250,82,11.1,5.7,1.1,-7.8,0.071,0.143,0.184,0.549,0.065,2013-14,2013,FALSE,101138,BOS,82,27.64,1.86,0.99,0.87,4.04,4.23,3.84,Regular Season
203561,Brandon Davies,PHI,22,82,240,51,2.8,2.1,0.5,-2.1,0.062,0.127,0.136,0.476,0.074,2013-14,2013,TRUE,203561,PHI,51,11.28,0.86,0.44,0.42,4.61,4.97,4.27,Regular Season
